sim_id,file_path,record_id,earthquake_id,pga_g,scale_factor,struct_id,n_stories,T1_s,T2_s,material_type,yield_drift_ratio,peak_roof_disp_m,peak_roof_accel_g,max_interstory_drift_ratio,total_hysteretic_energy_J,partition
0,data/simulations/mdof/sim_000000.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T035,3,0.3499999999999998,0.1249135537622733,elastic,0.004,0.0003083139394551,0.0114918636743704,4.750142223137624e-05,0.0296238393135325,train
1,data/simulations/mdof/sim_000001.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T035,3,0.3499999999999998,0.1249135537622733,bilinear,0.004,0.0003083139394551,0.0114918636743704,4.75014222313762e-05,0.0296238393135324,train
2,data/simulations/mdof/sim_000002.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T035,3,0.3499999999999998,0.1249135537622733,bilinear,0.007,0.0003083139394551,0.0114918636743704,4.75014222313762e-05,0.0296238393135324,train
3,data/simulations/mdof/sim_000003.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T060,3,0.6,0.2141375207353256,elastic,0.004,0.0012215959807996,0.0135887439304324,0.0001655586602206,0.1804902959401525,train
4,data/simulations/mdof/sim_000004.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T060,3,0.6,0.2141375207353256,bilinear,0.004,0.0012215959807996,0.0135887439304324,0.0001655586602206,0.1804902959401522,train
5,data/simulations/mdof/sim_000005.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T060,3,0.6,0.2141375207353256,bilinear,0.007,0.0012215959807996,0.0135887439304324,0.0001655586602206,0.1804902959401522,train
6,data/simulations/mdof/sim_000006.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T090,3,0.9,0.3212062811029884,elastic,0.004,0.0022421615722093,0.0157689901597807,0.0002873516143713,0.3637990323725931,train
7,data/simulations/mdof/sim_000007.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T090,3,0.9,0.3212062811029884,bilinear,0.004,0.0022421615722093,0.0157689901597808,0.0002873516143713,0.3637990323725922,id_test
8,data/simulations/mdof/sim_000008.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,3S_T090,3,0.9,0.3212062811029884,bilinear,0.007,0.0022421615722093,0.0157689901597808,0.0002873516143713,0.3637990323725922,train
9,data/simulations/mdof/sim_000009.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,5S_T055,5,0.5499999999999999,0.1884215991249005,elastic,0.004,0.0009696196888392,0.0132782498588775,9.560485784930056e-05,0.1778013462389744,train
10,data/simulations/mdof/sim_000010.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,5S_T055,5,0.5499999999999999,0.1884215991249005,bilinear,0.004,0.0009696196888392,0.0132782498588776,9.560485784930068e-05,0.1778013462389749,train
11,data/simulations/mdof/sim_000011.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,5S_T055,5,0.5499999999999999,0.1884215991249005,bilinear,0.007,0.0009696196888392,0.0132782498588776,9.560485784930068e-05,0.1778013462389749,train
12,data/simulations/mdof/sim_000012.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,5S_T085,5,0.8499999999999999,0.2911970168293918,elastic,0.004,0.0023381489753151,0.017248081354997,0.0001924610351781,0.4970273485961354,train
13,data/simulations/mdof/sim_000013.npz,RSN0001_PGA_0p050g,RSN0001,0.05,0.3310179018338407,5S_T085,5,0.8499999999999999,0.2911970168293918,bilinear,0.004,0.0023381489753151,0.017248081354997,0.0001924610351781,0.4970273485961373,train
